# E (eV),Tr beamline
304.535113,0.871704
304.805120,0.848070
305.075127,0.762458
305.345134,0.705957
305.615140,0.704126
305.885147,0.709117
306.155154,0.738508
306.425161,0.795547
306.695167,0.768902
306.965174,0.733749
307.235181,0.676046
307.505188,0.619479
307.775194,0.633140
308.045201,0.693977
308.315208,0.749298
308.585215,0.783617
308.855221,0.756667
309.125228,0.725288
309.395235,0.733876
309.665242,0.762182
309.935248,0.791406
310.205255,0.814568
310.475262,0.805721
310.745269,0.793969
311.015275,0.797160
311.285282,0.773759
311.555289,0.704548
311.825296,0.687486
312.095302,0.674339
312.365309,0.663917
312.635316,0.681365
312.905323,0.665523
313.175329,0.602473
313.445336,0.585121
313.715343,0.563145
313.985350,0.528313
314.255356,0.458443
314.525363,0.445369
314.795370,0.473506
315.065377,0.512998
315.335383,0.547188
315.605390,0.601386
315.875397,0.586523
316.145404,0.587541
316.415410,0.617260
316.685417,0.650881
316.955424,0.676937
317.225431,0.722665
317.495437,0.729712
317.765444,0.729351
318.035451,0.738635
318.305458,0.755663
318.575464,0.769480
318.845471,0.791547
319.115478,0.779056
319.385485,0.722791
319.655491,0.668160
319.925498,0.662820
320.195505,0.697053
320.465512,0.759657
320.735518,0.726362
321.005525,0.629965
321.275532,0.579354
321.545539,0.568711
321.815545,0.593099
322.085552,0.686428
322.355559,0.742478
322.625566,0.703697
322.895572,0.681295
323.165579,0.678343
323.435586,0.689491
323.705593,0.732088
323.975599,0.770353
324.245606,0.730972
324.515613,0.699947
324.785620,0.715178
325.055626,0.754412
325.325633,0.788097
325.595640,0.816751
325.865647,0.801453
326.135653,0.774442
326.405660,0.775118
326.675667,0.800022
326.945674,0.823792
327.215680,0.844675
327.485687,0.847412
327.755694,0.832423
328.025701,0.826549
328.295707,0.835446
328.565714,0.848530
328.835721,0.859545
329.105728,0.858727
329.375734,0.822035
329.645741,0.781366
329.915748,0.780882
330.185755,0.804274
330.455761,0.764621
330.725768,0.700335
330.995775,0.649144
331.265782,0.585813
331.535788,0.592869
331.805795,0.706105
332.075802,0.780217
332.345809,0.760888
332.615815,0.737915
332.885822,0.703527
333.155829,0.682990
333.425836,0.728923
333.695842,0.804736
333.965849,0.828086
334.235856,0.822146
334.505863,0.811471
334.775869,0.794920
335.045876,0.797112
335.315883,0.831180
335.585890,0.858817
335.855896,0.860520
336.125903,0.849907
336.395910,0.813818
336.665917,0.770709
336.935923,0.769713
337.205930,0.805442
337.475937,0.785831
337.745944,0.713227
338.015950,0.682251
338.285957,0.653326
338.555964,0.647601
338.825971,0.722612
339.095977,0.799346
339.365984,0.783911
339.635991,0.752080
339.905998,0.742129
340.176004,0.732315
340.446011,0.748416
340.716018,0.809932
340.986025,0.845441
341.256031,0.833090
341.526038,0.823625
341.796045,0.818988
342.066052,0.815645
342.336058,0.829868
342.606065,0.851897
342.876072,0.832835
343.146079,0.792029
343.416085,0.787402
343.686092,0.814243
343.956099,0.841640
344.226106,0.862899
344.496112,0.873973
344.766119,0.855446
345.036126,0.831416
345.306133,0.829218
345.576139,0.821173
345.846146,0.763905
346.116153,0.721658
346.386160,0.718223
346.656166,0.729976
346.926173,0.785397
347.196180,0.837829
347.466187,0.840282
347.736193,0.788713
348.006200,0.714392
348.276207,0.652165
348.546214,0.642724
348.816220,0.702835
349.086227,0.793996
349.356234,0.842255
349.626241,0.831172
349.896247,0.787636
350.166254,0.715006
350.436261,0.610389
350.706268,0.554975
350.976274,0.604067
351.246281,0.677152
351.516288,0.745484
351.786295,0.798029
352.056301,0.787608
352.326308,0.728021
352.596315,0.687720
352.866322,0.705114
353.136328,0.713511
353.406335,0.681812
353.676342,0.673547
353.946349,0.670125
354.216355,0.670799
354.486362,0.719986
354.756369,0.779870
355.026376,0.789601
355.296382,0.722229
355.566389,0.581995
355.836396,0.458643
356.106403,0.426724
356.376409,0.489145
356.646416,0.641455
356.916423,0.768669
357.186430,0.780856
357.456436,0.709119
357.726443,0.615544
357.996450,0.541306
358.266457,0.492729
358.536463,0.542013
358.806470,0.617535
359.076477,0.648971
359.346484,0.683930
359.616490,0.701642
359.886497,0.693352
360.156504,0.663628
360.426511,0.673642
360.696517,0.710943
360.966524,0.729626
361.236531,0.755020
361.506538,0.777873
361.776544,0.784500
362.046551,0.775807
362.316558,0.779319
362.586565,0.800832
362.856571,0.807954
363.126578,0.782416
363.396585,0.713142
363.666592,0.665842
363.936598,0.653697
364.206605,0.667736
364.476612,0.735860
364.746619,0.806014
365.016625,0.819090
365.286632,0.783418
365.556639,0.741018
365.826646,0.728009
366.096652,0.730692
366.366659,0.762508
366.636666,0.806118
366.906673,0.808576
367.176679,0.789752
367.446686,0.779256
367.716693,0.790521
367.986700,0.801572
368.256706,0.815266
368.526713,0.838936
368.796720,0.846211
369.066727,0.835163
369.336733,0.826063
369.606740,0.830301
369.876747,0.839427
370.146754,0.846470
370.416760,0.859632
370.686767,0.871599
370.956774,0.869356
371.226781,0.855113
371.496787,0.810042
371.766794,0.730313
372.036801,0.691019
372.306808,0.692046
372.576814,0.717908
372.846821,0.781181
373.116828,0.837941
373.386835,0.844970
373.656841,0.809696
373.926848,0.767308
374.196855,0.757742
374.466862,0.766852
374.736868,0.794345
375.006875,0.841214
375.276882,0.867379
375.546889,0.865132
375.816895,0.846199
376.086902,0.832766
376.356909,0.833052
376.626916,0.841931
